NotWavenumber,NotIntensity
6002.879321,0.110875
6002.879166,0.111637
6002.879007,0.112511
6002.878852,0.113244
6002.878697,0.113999
6002.878539,0.114183
6002.878384,0.114544
6002.878225,0.115058
6002.87807,0.115197
6002.877915,0.11603
6002.877757,0.116486
6002.877602,0.116723
6002.877443,0.117243
6002.877288,0.117603
6002.877133,0.117557
6002.876975,0.117758
6002.87682,0.117733
6002.876661,0.117572
6002.876506,0.117496
6002.876351,0.11732
6002.876193,0.116913
6002.876038,0.116861
6002.875883,0.116173
6002.875724,0.115981
6002.875569,0.115748
6002.875411,0.115702
6002.875256,0.115445
6002.875101,0.115599
6002.874942,0.115713
6002.874788,0.115954
6002.874629,0.116445
6002.874474,0.116805
6002.874319,0.117087
6002.874161,0.117472
6002.874006,0.11769
6002.873847,0.117686
6002.873692,0.118068
6002.873537,0.118079
6002.873379,0.118271
6002.873224,0.118307
6002.873069,0.118424
6002.87291,0.118466
6002.872755,0.118304
6002.872597,0.118085
6002.872442,0.118303
6002.872287,0.118176
6002.872128,0.118017
6002.871973,0.11795
6002.871815,0.117996
6002.87166,0.117677
6002.871505,0.117904
6002.871346,0.117528
6002.871191,0.117672
6002.871033,0.117671
6002.870878,0.117523
6002.870723,0.117879
6002.870564,0.118368
6002.870409,0.118779
6002.870254,0.119466
6002.870096,0.120377
6002.869941,0.121041
6002.869782,0.122211
6002.869627,0.122766
6002.869472,0.123502
6002.869314,0.124166
6002.869159,0.125104
6002.869,0.125928
6002.868845,0.126679
6002.868691,0.127113
6002.868532,0.127626
6002.868377,0.127547
6002.868218,0.127678
6002.868064,0.127413
6002.867909,0.127172
6002.86775,0.126321
6002.867595,0.125453
6002.86744,0.124253
6002.867282,0.122978
6002.867127,0.121081
6002.866968,0.119333
6002.866813,0.118176
6002.866658,0.116886
6002.8665,0.115961
6002.866345,0.115076
6002.866186,0.114457
6002.866031,0.113774
6002.865876,0.113806
6002.865718,0.113547
6002.865563,0.11353
6002.865404,0.113822
6002.865249,0.113946
6002.865094,0.114436
6002.864936,0.114329
6002.864781,0.114544
6002.864626,0.114833
6002.864467,0.115477
6002.864312,0.115816
6002.864154,0.116407
6002.863999,0.116981
6002.863844,0.117559
6002.863685,0.117587
6002.86353,0.118025
6002.863372,0.118302
6002.863217,0.118579
6002.863062,0.118766
6002.862903,0.118952
6002.862748,0.119051
6002.86259,0.119734
6002.862435,0.120014
6002.86228,0.120493
6002.862121,0.120778
6002.861966,0.121754
6002.861812,0.122721
6002.861653,0.124346
6002.861498,0.125833
6002.861339,0.127016
6002.861185,0.128618
6002.86103,0.129515
6002.860871,0.130236
6002.860716,0.130667
6002.860558,0.13099
6002.860403,0.130567
6002.860248,0.130121
6002.860089,0.129403
6002.859934,0.128333
6002.859776,0.127384
6002.859621,0.125858
6002.859466,0.124471
6002.859307,0.122562
6002.859152,0.121038
6002.858997,0.118965
6002.858839,0.117238
6002.858684,0.11525
6002.858525,0.113629
6002.85837,0.112089
6002.858215,0.110926
6002.858057,0.109896
6002.857902,0.108978
6002.857743,0.108194
6002.857588,0.10821
6002.857433,0.108202
6002.857275,0.108068
6002.85712,0.108119
6002.856961,0.108304
6002.856806,0.108658
6002.856651,0.109082
