# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jul 13 15:40:13 2023
# COLUMN name:        Planet Name
# COLUMN pl_eqt:         Equilibrium Temperature [K]
name	temp
Kepler-1016 c	407
Kepler-1017 b	831
Kepler-1018 b	498
Kepler-1019 b	1164
Kepler-102 b	857
Kepler-102 c	777
Kepler-102 d	686
Kepler-102 e	590
Kepler-102 f	495
Kepler-1020 b	325
Kepler-1021 b	634
Kepler-1022 b	512
Kepler-1023 b	524
Kepler-1024 b	376
Kepler-1025 b	1654
Kepler-1026 b	425
Kepler-1027 b	1268
Kepler-1028 b	1217
Kepler-1029 b	790
Kepler-103 b	973
Kepler-103 c	434
Kepler-1030 b	529
Kepler-1031 b	2024
Kepler-1032 b	802
Kepler-1033 b	914
Kepler-1034 b	675
Kepler-1035 b	1301
Kepler-1036 b	326
Kepler-1037 b	1650
Kepler-1038 b	285
Kepler-1038 c	784
Kepler-1039 b	2080
Kepler-104 b	852
Kepler-104 c	668
Kepler-104 d	515
Kepler-1040 b	300
Kepler-1041 b	644
Kepler-1042 b	574
Kepler-1043 b	532
Kepler-1044 b	1058
Kepler-1045 b	512
Kepler-1046 b	786
Kepler-1047 b	503
Kepler-1047 c	1309
Kepler-1048 b	619
Kepler-1049 b	625
Kepler-105 b	1418
Kepler-105 c	997
Kepler-1050 b	1039
Kepler-1050 c	935
Kepler-1051 b	850
Kepler-1052 b	522
Kepler-1052 c	302
Kepler-1053 b	953
Kepler-1054 b	1177
Kepler-1055 b	1304
Kepler-1056 b	590
Kepler-1057 b	724
Kepler-1058 b	239
Kepler-1059 b	908
Kepler-106 b	1021
Kepler-106 c	785
Kepler-106 d	649
Kepler-106 e	531
Kepler-1060 b	484
Kepler-1061 b	1332
Kepler-1062 b	583
Kepler-1063 b	931
Kepler-1064 b	570
Kepler-1065 b	1092
Kepler-1065 c	1256
Kepler-1066 b	1290
Kepler-1067 b	1872
Kepler-1067 c	973
Kepler-1068 b	702
Kepler-1069 b	823
Kepler-107 b	1592
Kepler-107 c	1378
Kepler-107 d	1173
Kepler-107 e	955
Kepler-1070 b	1101
Kepler-1071 b	814
Kepler-1072 b	1849
Kepler-1073 b	905
Kepler-1073 c	1169
Kepler-1073 d	1369
Kepler-1074 b	568
Kepler-1075 b	818
Kepler-1076 b	770
Kepler-1077 b	576
Kepler-1078 b	1122
Kepler-1079 b	887
Kepler-108 b	669
Kepler-108 c	426
Kepler-1080 b	548
Kepler-1081 b	972
Kepler-1082 b	1827
Kepler-1083 b	448
Kepler-1084 b	1737
Kepler-1085 b	313
Kepler-1085 c	491
Kepler-1086 b	433
Kepler-1086 c	211
Kepler-1087 b	2161
Kepler-1088 b	667
Kepler-1089 b	584
Kepler-109 b	1276
Kepler-109 c	859
Kepler-1090 b	297
Kepler-1090 c	496
Kepler-1091 b	1664
